title	url	amount	status	activedate	location	text
Mass Media Defence Centre	/grantees/143/	$300,000	Active Strategy	2012	Voronezh, Russia	Voronezh, Russia                     &ndash;  To strengthen the protection of media rights in the Russian Federation (over three years).
Centre for Independent Social Research	/grantees/148/	$250,000	Active Strategy	2012	St. Petersburg, Russia	St. Petersburg, Russia                     &ndash;  To support an endowment and increase fundraising capacity.
Andrei Sakharov Museum and Public Center	/grantees/1542/	$300,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To promote the Internet as a medium for freedom of speech through online broadcasting (over three years).
Independent Council of Legal Expertise	/grantees/1201/	$375,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To strengthen access to justice in the Russian Federation (over three years).
Association of Groups for Public Investigations	/grantees/1023/	$300,000	Active Strategy	2012	Kazan, Russia	Kazan, Russia                     &ndash;  To strengthen Internet freedom in the Russian Federation (over three years).
Center for Energy and Security Studies	/grantees/1511/	$400,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To promote highly enriched uranium minimization in Russia (over three years).
Public Verdict Fund	/grantees/673/	$300,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To strengthen access to justice in the Russian Federation (over three years).
National Research University Higher School of Economics	/grantees/1527/	$70,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To support the Russian operations of the Working Group on the Future of U.S.-Russia Relations.
Independent Council of Legal Expertise	/grantees/1201/	$375,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To strengthen access to justice in the Russian Federation (over three years).
Andrei Sakharov Museum and Public Center	/grantees/1542/	$300,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To promote the Internet as a medium for freedom of speech through online broadcasting (over three years).
Association of Groups for Public Investigations	/grantees/1023/	$300,000	Active Strategy	2012	Kazan, Russia	Kazan, Russia                     &ndash;  To strengthen Internet freedom in the Russian Federation (over three years).
American Littoral Society	/grantees/1541/	$25,000	Active Strategy	2012	Highlands, New Jersey	Highlands, New Jersey                     &ndash;  To support a meeting on the Arctic and Russia.
Mass Media Defence Centre	/grantees/143/	$300,000	Active Strategy	2012	Voronezh, Russia	Voronezh, Russia                     &ndash;  To strengthen the protection of media rights in the Russian Federation (over three years).
Foundation Institute for Information Freedom Development	/grantees/1595/	$300,000	Active Strategy	2012	St Petersburg, Russia	St Petersburg, Russia                     &ndash;  To promote access to information and media freedom in the Russian Federation (over three years).
Russian Political Science Association	/grantees/1381/	$120,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To develop political science in Russia, with a particular emphasis on research and policy outreach on the topics of non-proliferation and the safety of nuclear materials, and Arctic governance.
INDEM Foundation	/grantees/1600/	$300,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To promote access to information about the justice system in Russia (over three years).
Center for Energy and Security Studies	/grantees/1511/	$400,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To promote highly enriched uranium minimization in Russia (over three years).
Public Verdict Fund	/grantees/673/	$300,000	Active Strategy	2012	Moscow, Russia	Moscow, Russia                     &ndash;  To strengthen access to justice in the Russian Federation (over three years).
American Friends of the New Economic School	/grantees/38/	$600,000	Active Strategy	2011	University Park, Pennsylvania	University Park, Pennsylvania                     &ndash;  To establish a research center on new media and society at the New Economic School (over two years).
Moscow Helsinki Group	/grantees/542/	$750,000	Active Strategy	2011	Moscow, Russia	Moscow, Russia                     &ndash;  To strengthen educational efforts and promote sexual reproductive health and rights and gender equality for girls in Nigeria.
Ryazan Memorial Historical, Educational and Human Rights Advocacy Society	/grantees/966/	$225,000	Active Strategy	2011	Ryazan, Russia	Ryazan, Russia                     &ndash;  In support of a website providing coverage of human rights in the Russian Federation (over three years).
Carnegie Endowment for International Peace	/grantees/108/	$2,500,000	Active Strategy	2011	Washington, D.C.	Washington, D.C.                     &ndash;  In institutional support.
Center for the Study of Nationalism and Empire	/grantees/139/	$290,000	Active Strategy	2011	Kazan, Russia	Kazan, Russia                     &ndash;  In support of the journal, &quot;Ab Imperio&quot; (over 42 months).
Academic Educational Forum on International Relations	/grantees/4/	$40,000	Active Strategy	2011	Moscow, Russia	Moscow, Russia                     &ndash;  To support an alumni conference and evaluation of the Forum&#39;s training programs.
Academic Educational Forum on International Relations	/grantees/4/	$40,000	Active Strategy	2011	Moscow, Russia	Moscow, Russia                     &ndash;  To support an alumni conference and evaluation of the Forum&#39;s training programs.
Moscow Guild of Theater and Screen Actors	/grantees/946/	$255,000	Active Strategy	2011	Moscow, Russia	Moscow, Russia                     &ndash;  In support of the Stalker International Human Rights Film Festival (over three years).
