title	grantee	stratarea	grant	cofunding	duration	text
Project: Masters Degree Double-diploma Program "Management of Non-profit Organizations"	Grantee: Moscow State University, School of   Public Administration	Strategic Area: Economic Development	Grant: $98,601	Co-funding: $60,000	Duration: March 2012 – February 2013	Among the central challenges facing the development   of civil society in Russia is the need for professional management of   not-for-profit organizations. Moscow State University is proposing to meet this   need by establishing a Masters degree program in non-profit management through   a partnership with the State University of New York (SUNY).
Project: Using IP-based Contracts for Creating Relationships and Opportunities for Universities	Grantee: Higher School of Economics	Strategic Area: Economic Development	Grant: $89,794	Co-funding: $80,503	Duration: March 2012 – December 2012	Specifically, this project will focus on the   protection of intellectual property, one of the key challenges facing all   Russian institutions.  Its long-term effect will be help Russian universities   manage their IP assets and build enduring links to outside stakeholders.
Project: Entrepreneurship   Training for Catering Service Professionals	Grantee:  Gusev   Polytechnical School	Strategic Area: Economic Development	Grant: $90,446	Co-funding: $105,459	Duration: March 2012 – July 2013	The project is aimed at creation of a cadre of   entrepreneurial specialists who would be able to set up catering services or   restaurants. The "entrepreneurship center" of the Gusev Polytechical School   seeks to establish a full-fledged program for training students in the area   catering and food production.
Project: Development   of the Small Business Sector in Russia by Creating a Cycle TV Programs "Build   Your Business"	Grantee: Centre &quot;Praktika&quot;	Strategic Area: Entrepreneurship	Grant: $99,883	Co-funding: $78,635	Duration:  March 2012 – October 2012	The Center Praktika proposes developing a series of   TV programs that explain the legal and economic aspects of the private sector   of the Russian regions. They are intended as an entertaining and practical guide   for potential entrepreneurs. These programs will be aired by leading regional   TV companies from eight federal districts of Russia (including Nizhny Novgorod,   Irkutsk, Krasnodar, Krasnoyarsk, Tomsk, Ekaterinburg, Kazan, and Kirov).
Project: Enhancing   the Mechanisms of the Civil Society Involvement in the Law-making Process	Grantee: Russian Law-making Society	Strategic Area: Rule of Law	Grant: $77,478	Co-funding: $29,540	Duration: November 2011 – April 2012	The project addresses a serious problem in the   present-day Russia: the lack of public deliberation of socially significant   legislative drafts, and focuses on practical outcomes:  specific proposals for   involving citizens and civic organizations in discussions of legislative drafts   and formats for public deliberation of legislative drafts in State Duma   Committees. The project has supported from the Presidential Administration and   the Public Chamber that are interested in the results
Project: The   Open Internet Olympic Contest «Finances, Investments and Trading» as a Tool of   Shaping Financial Literacy and Socio-economic Competency for Schoolchildren on   Personal Finances Responsible Management	Grantee: Private School Naslednik	Strategic Area: Rule of Law	Grant: $48,400	Co-funding: $16,681	Duration: November 2011 – June 2012	The project activity is aimed at increasing the   level of students' financial literacy and acquisition of systematic knowledge,   skills and understanding of rights and responsibilities for financial services   consumers and thus prepare them for future adult life.
Project: From Disability to Economic Growth and Diversity	Grantee: Regional Organization of Disabled People "Perspektiva"	Strategic Area: Economic Development	Grant: $99,600	Co-funding: $23,000	Duration: August 2011 – July 2012	The project is based on previous   efforts of Perspektiva to establish the Russian Business Advisory Board on   Disability (BABD). Today BABD members include: ANCOR, Citi Bank, Clifford   Chance, Coleman Services, DPD, Ernst &amp;Young, Johnson &amp; Johnson, KPMG,   Microsoft, Naim.ru, Nike, Raiffeisen Bank, and Transaero. The main goal of the   new project is to strengthen and expand the BABD. The project will enable the   BABD to develop the next steps for inclusion of people with disabilities in the   labor force and marketplace.
Project: Development   and Testing Mediation Mechanisms in Civil Procedure	Grantee: Urals State Law Academy	Strategic Area: Rule of Law	Grant: $98,803	Co-funding: $105,097	Duration: August 2011 – April 2012	The project is aimed at integrating mediation into   court procedures by training judges, developing procedural rules for referring   cases to mediators, and ensuring formal conditions for the work of mediators.   This project is closely linked to the new law on mediation and the applicant   has the support of the Judicial Department for Sverdlovsk Region and Sverdlovsk   Regional Court.
Project: Program   of Professional Development for Lawyers	Grantee: St Petersburg Institute of Law named   after Prince Oldenburgsky	Strategic Area: Rule of Law	Grant: $98,763	Co-funding: $21,384	Duration: September 2011 – June 2012	This project will develop professional competencies   of lawyers by addressing some of the most pressing problems of Russian legal   education – the lack of practical skills training and client-oriented approach   -- through practical training, interactive teaching methods, work with   hypothetical cases, role playing, simulation, etc.
Project: Creation   of the School of Continuing Education for Young Lawyers with the Aim of   Providing Legal Support to Business in the Republic of Bashkortostan	Grantee: Bashkir State University	Strategic Area: Rule of Law	Grant: $99,141	Co-funding: $25,630	Duration: August 2011 – December 2011	Theproject will establish a Continuing Education   School for lawyers working in business. To implement it, the University would   set up a system of staff development; assess the need for specialists in   different sectors; establish a curriculum with such courses as: "Legal Support   of Industrial and Banking Services of the Economy", "Legal Support of the   Nonprofit Sector of the Economy", "Legal Basis for Private-Public Partnership";   create selection criteria and select competitively future students; enter into   partnership agreements with major private companies; carry out three-week   training sessions; and evaluate the results.
