1,02-03,"Фонд   ""Институт фондового рынка и управления""",7710264307,Всероссийская   олимпиада по финансовому рынку для старшеклассников,"2   000 000,0═",
2,12-03,Региональный   общественный фонд социальной поддержки выпускников МГУ,7727248720,"""Вера.Надежда.Жизнь""","2 000 000,0═",
3,19-03,"Частное   общеобразовательное учреждение ""Средняя общеобразовательная школа   ""Личность""",2315058833,Создание   и апробация системы профориентационной работы с учащимися,"900 000,0═",
4,20-03,"Некоммерческое   партнерство ""Центр социальных коммуникаций и информационных   технологий""",6672213836,Формирование   у молодежи стимулов к самозанятости как один из механизмов реализации   государственной антикризисной политики,"1 900 000,0═",
5,42-03,"Региональное   молодежное общественное движение ""Диалог""",2014027197,Гражданское   образование в сфере добровольчества и дипломатии - II,"400 000,0═",
6,64-03,"Некоммерческое   партнерство социальной защищенности и спортивного развития молодежи   ""Артель""",2315140982,Молодежный   центр трудоустройства и дополнительной профессиональной переподготовки,"2 500 000,0═",
7,65-03,"Общероссийская   детская общественная организация ""Общественная малая академия наук   ""Интеллект будущего""",4025047199,"Выявление   среди молодежи лидеров ориентированных на деятельность в сфере науки и   инноваций, их поддержка и обучение","1 500 000,0═",
8,107-03,"Краснодарская   краевая общественная организация ""Центр прикладной социологии и   политологии""",2313015834,Кубанский   молодежный антикризисный центр правовой и социальной защиты населения,"700 000,0═",
9,132-03,Региональный   общественный благотворительный фонд поддержки неправительственных организаций,2013432315,Правовое   просвещение и обучающие семинары для сотрудников НКО,"400 000,0═",
10,145-03,"Региональная   общественная организация ""Общество солидарности и сотрудничества народов   Азии и Африки""",7704044180,Молодые   востоковеды-африканисты за активное участие в государственной политике и   общественной деятельности,"1 500 000,0═",
11,190-03,Автономная   некоммерческая организация ╚Центр развития молодежного парламентаризма╩,7710620562,"╚Антикризисный   проект, направленный на вовлечение молодежи в развитие системы ЖКХ и создание   новых рабочих мест в МО через формирование и развитие ТСЖ╩","1 100 000,0═",
12,195-03,Межрегиональная   молодежная общественная организация ╚Центр социально-экономических инициатив   - Моё Отечество╩,7710408750,Всероссийский   конкурс ╚Моя страна √ моя Россия╩,"1 900 000,0═",
13,231-03,Тверская   областная общественная организация Российского Союза Молодежи,6905011803,"Поддержка   выпускников Высших учебных заведений, участников программы ""Лучшие   выпускники Тверского региона 2009"", в номинации ""Отличники""","800 000,0═",
14,251-03,"Некоммерческое   партнерство ""Клуб содействия физическому и духовному развитию""",7706411799,"Создание   условий для духовного и физического развития детей и подростков, в первую   очередь из малоимущих, а также семей, пострадавших от последствий   экономического кризиса","3 700 000,0═",
15,264-03,"Местная   общественная организация ""Молодежный Парламент Петропавловск-Камчатского   городского округа""",4101123334,"Поддержка   ""июльского выпуска""","1 000 000,0═",
16,295-03,Автономная   некоммерческая организация социальной поддержки культурного развития ╚Школа   успеха╩,2312140293,Программа   в области воспитания культуры молодежи ╚Пропаганда историко-культурного   наследия России как средство воспитания гражданственности и патриотизма   молодежи╩,"2 100 000,0═",
17,302-03,Межрегиональная   общественная организация Союз женщин Санкт-Петербурга и Ленинградской области,7808039315,Молодежно-   образовательная программа═ ╚Никто не   забыт √ ничто не забыто╩,"2 300 000,0═",
18,304-03,Межрегиональная   общественная организация Содействия развития суверенной демократии ╚НАШИ╩,7701353744,"Всероссийский   молодежный образовательный форум ""Селигер 2010""","5 500 000,0═",
19,305-03,"Негосударственное   образовательное частное учреждение высшего профессионального образования   Национальный институт ""Высшая школа управления""",7725231431,"Молодежный   образовательный форум ""ВШУ""","3 500 000,0═",
20,317-03,Некоммерческое   партнерство ╚Развитие спортивного клуба ФЕЛИКС╩,7725566413,Спорт   √ это жизнь,"1 900 000,0═",
21,318-03,"Благотворительный   фонд поддержки молодежных инициатив ""Мое поколение""",7715399280,"Создание   единой системы Интернет-ресурсов для поддержки деятельности НКО, Региональных   общественных палат и других институтов гражданского общества России","3 300 000,0═",
22,319-03,Нижегородское   областное отделение ООД ╚Движение женщин России╩,5262114854,Моя   кроха,"2 500 000,0═",
23,330-03,"Общероссийская   общественная организация ""Российский Союз ректоров""",7725026023,"""Талант   преодоления"": интеллектуальное попечительство детей с ограниченными   возможностями здоровья","750 000,0═",
24,331-03,"Некоммерческое   партнерство ""научно-образовательный форум по международным   отношениям""",7704211346,"""Международные   процессы - Журнал теории мировой политики и международных отношений""","1 800 000,0═",
25,337-03,"Некоммерческое   партнерство ""Телешкола""",7725120107,"""Школа   инноваций""","4 000 000,0═",
