1,6,"Некоммерческая организация-Фонд ""Центр политической конъюнктуры""",Динамика стратификационных процессов в современном российском обществе (трансформация социальных групп и качество жизни),3 000 000
2,8,"Ивановское региональное отделение общественной организации ""Союз женщин России""","""Семью каждому ребёнку!""",650 000
3,10,"Курская областная организация общероссийской общественной организации ""Всероссийское общество инвалидов"" (ВОИ)","""Социальный паспорт нуждающегося в социальной опеке и защите (людей с ограниченными возможностями, признанных в установленном законом порядке инвалидом)""",600 000
4,13,"Автономная Некомерческая Организация ""Аналитический Центр Юрия Левады""","""Проблема качества образования и установка на постоянное образование в современной России""",1 700 000
5,23,"Некоммерческое партнерство ""Центр гуманитарных и политических технологий""","""Оценка результативности, эффективности и качества деятельности правоохранительных учреждений (милиции)""",246 942
6,32,"Межрегиональная общественная организация ""Центр содействия коренным малочисленным народам Севера""","""Аборигенный экотуризм как социально-экономическое партнерство традиционных и индустриальных природопользователей""",650 000
7,33,"Автономная некоммерческая организация ""Социологическая мастерская Задорина""","""Мониторинг состояния некоммерческого сектора в России""",700 000
8,34,"Общероссийское общественное движение ""Первое свободное поколение""","""Мониторинг различных проявлений социальных и трудовых конфликтов в субъектах РФ. Совершенствование методики выявления совокупности субъективных и объективных факторов, влияющих на конфликты, за счет расширения информационной базы и применения новых метод",2 900 000
9,35,"Региональная общественная организация ""Центр миграционных исследований""","""Оценка новой миграционной политики России в сфере трудовой миграции из стран СНГ""",2 500 000
10,36,"Автономная некоммерческая организация ""Центр прикладных исследований местного самоуправления""","""Структура муниципальной власти и её влияние на развитие общественной солидарности и местного предпринимательства""",2 450 000
11,38,"Некоммерческая автономная организация ""Башкирский институт стратегических исследований социального проектирования, инноваций и общественного мнения""","""Социологическое исследование и мониторинг взаимной адаптации мигрантов и местного населения как фактор стабильного развития гражданского общества""",950 000
12,39,Некоммерческое партнерство «Совет Молодежного Парламента Республики Коми»,"Социологическое исследование ""Общественное мнение об алкоголизации населения субъекта Федерации (на примере Республики Коми)""",500 000
13,40,Первичная профсоюзная организация сотрудников и студентов Тамбовского государственного технического университета,"""Проблема соответствия сферы образовательных услуг высшей школы и регионального рынка труда""",350 000
14,47,"Кемеровская региональная общественная организация ""Кузнецкая инженерная академия""","""Интересы и профессиональные ожидания молодежных групп Кузбасса вследствие чрезвычайных ситуаций на угольных предприятиях""",1 250 000
15,56,"Автономная некоммерческая организация ""ХОРОШО - развитие индустрии развлечений""","""Резерв развития современного среднего класса в перспективе к 2020 г.""",2 500 000
16,57,"Автономная некоммерческая организация ""Институт профессионального развития Национального союза кадровиков""","""Анализ динамики общенационального и региональных рынков труда Российской Федерации (формирование структуры спроса/предложения в профессионально-квалификационном аспекте)""",2 700 000
17,58,Свердловская областная общественная организация «Антинаркотический центр «Спасение»,"""Методика оценки эффективности НКО, работающих в области профилактики потребления ПАВ и реабилитации лиц, страдающих химической зависимостью""",1 100 000
18,65,Пермская городская общественная организация «Ассоциация специалистов гуманитариев по поддержке социально значимых программ «Аспектус»,"""Перекос"" на рынке труда: потребность в ""рабочих специальностях"" у работодателей и невостребованность ""рабочих профессий"" учащейся молодежью",1 300 000
19,67,Негосударственное образовательное учреждение «Информационный учебный центр»,"""Добровольчество в Краснодарском крае: проблемы и тенденции развития""",654 919
20,69,"Красноярская региональная общественная организация ""Агентство общественных инициатив""","Научно-исследовательская работа ""Мониторинг востребованности и качества услуг, предоставляемых службами занятости Красноярского края молодым людям с ограниченными возможностями""",400 000
21,70,"Некоммерческая организация Фонд ""Агентство регионального экономического развития""","""Общие закономерности и специфика развития малого предпринимательства российских соотечественников в западном эксклаве России: контексты гражданского самоопределения""",700 000
22,72,Автономная Некоммерческая Организация «Забота»,"""СоPRАнО: элиты Челябинской области 2007-2010». Этап 2: «Кластерные» элиты""",1 000 000
23,73,Ставропольская городская общественная организация инвалидов «Вольница»,"""Инвалиды на рынке труда Ставропольского края""",249 105
24,76,"Автономная некоммерческая организация ""Международный Консультационный Центр""","""Установочное исследование культурных образцов и символов, служащих делу общекультурного единения общества""",1 700 000
25,79,"Автономная некоммерческая организация ""Центр независимых социологических исследований""","""Общественные движения в Ленинграде в годы перестройки""",750 000
26,81,"Общественная организация ""Российское общество социологов""","""Рабочая молодежь в условиях инновационного развития российского общества: образовательные и профессиональные траектории""",1 150 000
27,82,Общественная организация Ставропольского края Медико-педагогический Центр для подростков и молодежи,"""Разработка технологий взаимодействия образовательных учреждений, органов власти, социальных служб, НКО и семьи по интеграции молодых инвалидов в сферу профессионального образования""",218 878
28,84,"Некоммерческое партнерство ""Возможности креативной социологии Сибири""","""Проблемы развития малого предпринимательства в приграничных регионах России (на примере Омской области)""",700 002
29,87,"""Фонд поддержки гражданских проектов и социальных инициатив             «Содействие»""","""Сравнительное исследование специфики сознания и уровня активности горожан и жителей села на примере Вологодской области""",2 300 000
30,92,"Автономная некоммерческая организация ""Центр этнополитических и региональных исследований""","""Трансформация человеческого капитала в российском обществе (на базе ""Российского мониторинга экономического положения и здоровья населения"")""",4 000 000
31,97,"Самарская областная общественная организация ""Фонд социальных исследований""","""Российский рабочий класс: потенциал профессионализма и социального партнерства""",2 800 000
32,98,"Некоммерческое партнерство ""Редакция журнала ""Искусство кино""","""Телевидение как инструмент формирования культурного пространства""",2 000 000
33,99,Некоммерческая организация «Культурно-просветительский РУССКИЙ ФОНД»,«Исследование национальной идентичности в эпоху фундаментальных вызовов»,3 450 000
34,101,"Автономная некоммерческая организация ""Центр стратегического консалтинга""","""Исследование российских элит и их потенциальной роли в решении задач долгосрочного социально-экономического развития страны""",1 800 000
