1,3,Некоммерческое партнерство содействия развитию институтов   гражданского общества «Ватаным»,г. Москва             ЦФО,Издание и распространение газеты «Татарский мир» и журнала   «Восточный свет»,"2 000 000,00",Российская Федерация
2,4,Курское региональное отделение общественной организации   ветеранов внутренних дел и внутренних войск России,г.Курск             Курская область              ЦФО,«X-й юбилейный фестиваль военно-патриотической песни   памяти Героя России Андрея Хмелевского»,"165 500,00","г. Курск, Курская область, г. Орел, г. Белгород              Украина: г. Суммы, г. Харьков,              Беларусь: г. Гомель"
3,29,Некоммерческое партнерство «Проект Культура»,г.Санкт-Петербург             СЗФО,"Передвижная выставка игра по произведениям Н.В. Гоголя «О,   не верьте этому Невскому проспекту»","470 000,00",г. Санкт-Петербург
4,36,Автономная некоммерческая организация «Региональный центр   образовательных технологий»,г. Тамбов             Тамбовская область             ЦФО,Организационно-методическое обеспечение повышения   квалификации общественных управляющих - председателей и членов органов   государственно-общественного управле-ния муниципального и школьного уровней,"500 000,00",г. Тамбов             Тамбовская область
5,53,Некоммерческое партнерство «Карельский ресурсный центр   общественных организаций»,г. Петрозаводск             Республика Карелия             СЗФО,«Самозанятость - путь к успеху! Создание условий для   организации рабочих мест в пилотных территориях проекта с целью дальнейшего   социально-экономического развития и повышения туристической привлекательности»,"700 000,00","Кондопожский, Пряжинский, Питкярантский р-ны Республики   Карелия"
6,56,Ростовская городская еврейская национально-культурная   автономия,г. Ростов-на-Дону             Ростовская область             ЮФО,«Фестиваль книги»,"300 000,00",г. Ростов-на-Дону
7,79,Благотворительный фонд «Фонд П. Юргенсона»,г.Москва             ЦФО,Фестиваль музыки молодых композиторов России,"320 000,00","гг. Москва, Санкт-Петербург, Нижний Новгород,   Екатеринбург, Тверь, Республика Башкортостан, Республика Татарстан"
8,110,Пермская городская общественная организация «Центр   гражданского образования и прав человека»,г. Пермь             Пермский край              ПФО,«Продвижение моделей формирования толерантного поведения»,"750 000,00","Пермский край, Свердловская область, Республики Удмуртия,   Чувашия"
9,141,Региональная общественная организация «Взгляд в будущее»,г.Санкт-Петербург             СЗФО,«Силами молодых». Организация временной трудовой занятости   молодежи в социальных проектах в период экономического кризиса»,"1 450 000,00","г. Санкт-Петербург, Ленинградская область"
10,166,Некоммерческое партнерство «Московская Гильдия актеров   театра и кино»,г. Москва ЦФО,XVI Международный фестиваль фильмов о правах человека   «Сталкер»,"800 000,00",Российская Федерация
11,174,Иркутская областная общественная организация   Общероссийской общественной организации «Российскийсоюз сельских женщин»,г.Иркутск             Иркутская область             СФО,«Культурное наследие от бабушки к внучке»,"300 000,00","Поселения муниципальных районов Иркутской области:   Ольхонский,Боханский,   Эхирит-Булагатский, Усольский, Заларинский, Зиминский, Куйтунский,   Балаганский, Тулунский, Черемховский"
