Республика Адыгея,,
,Организация,Проект,"Сумма, руб."
,Майкопская городская общественная организация &#8220;Центр психологической и паллиативной помощи больным &#8220;Милосердие&#8221;,"Социальная и психологическая поддержка неизлечимо больным гражданам, наращивание материально-технической базы стационара &#8221; Инфраструктура &#8220;Хоспис&#8221; № заявки: 17",942.916
Республика Алтай,,
,Организация,Проект,"Сумма, руб."
,Общество инвалидов с детства &#8220;Возрождение&#8221;,"Социальная и предпрофессиональная интеграция молодых людей с инвалидностью, посредством организации работы Центра социально-трудовой адаптации &#8220;Перспектива&#8221; № заявки: 256",900 тыс.
Республика Башкортостан,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Центр делового развития&#8221;,Создание регионального &#8220;Учебно-производственного тренинг центра для социально незащищенной молодежи и женщин&#8221; № заявки: 511,600 тыс.
,Некоммерческое партнерство &#8221; Ассоциация благотворительных организаций Республики Башкортостан&#8221;,Межрегиональный социальный проект &#8221; Народный институт социального партнерства&#8221; № заявки: 272,
Республика Бурятия,,
,Организация,Проект,"Сумма, руб."
,Прибайкальская районная общественная организация инвалидов &#8220;Центр деятельности &#8220;Отрадный сад&#8221;,Социализация инвалидов с ограниченными умственными возможностями  &#8220;Социальная деревня - новые пути реабилитации   и жизнедеятельности людей с нарушением интеллекта&#8221; № заявки: 21,600 тыс.
,Бурятское республиканское отделение общероссийской общественной благотворительной организации инвалидов &#8220;ИнАвто&#8221;,&#8220;Влияние музыки на становление личности инвалидов. Реабилитация участниц ансамбля &#8220;Сибиряночка&#8221; в процессе концертной деятельности&#8221;. № заявки: 243,185.535
,Региональный общественный фонд строительства жилого комплекса инвалидов-колясочников и создания безбарьерной среды в Республике  Бурятия,Вовлечение инвалидов колясочников в активную  общественную жизнь № заявки: 436,755.900
Республика Дагестан,,
,Организация,Проект,"Сумма, руб."
,Благотворительный фонд &#8220;Женщины - участницы локальных войн&#8221;,"Оказание помощи женщинам, участницам локальных войн &#8220;Возрождение надежды&#8221; № заявки: 127",876.617
,Дагестанское  региональное отделение Межрегиональной общественной организации  инвалидов войн и военной службы России,Поездка делегации инвалидов Великой Отечественной войны от Республики Дагестан по памятным местам Германию № заявки: 692,700 тыс.
,Дагестанская республиканская организация Общероссийской общественной организации инвалидов &#8220;Всероссийское Ордена Трудового Красного Знамени общество слепых&#8221;,Создание центра социальной реабилитации и обслуживания инвалидов по зрению &#8220;Надежда&#8221; № заявки: 226,693 тыс.
,Дагестанский региональный общественный фонд &#8220;Созидание&#8221;,"Осуществление благотворительной помощи многодетным семьям, малоимущим слоям населения и образовательным учреждениям, научным и медицинским учреждениям ветеранов и инвалидов ВОВ № заявки: 258",500 тыс.
,Региональная благотворительная общественная организация помощи беженцам и вынужденным переселенцам &#8220;Набат&#8221;,Спортивно-оздоровительный лагерь для детей из семей беженцев и вынужденных переселенцев &#8220;Надежда&#8221; № заявки: 341,472.841
,Автономная некоммерческая организация &#8220;Республиканский общественный социальный центр&#8221;,Создание системы помощи в профессиональном самоопределении молодежи г.Махачкалы № заявки: 581,641 тыс.
Республика Ингушетия,,
,Организация,Проект,"Сумма, руб."
,Автономная некоммерческая организация &#8220;Вита&#8221;,Оказание информационных услуг в сфере защиты социальных прав малоимущим категориям граждан &#8220;Центр информатизации и социализации молодежи&#8221; № заявки: 5,741.500
,Ингушская Региональная общественная организация &#8220;Денал&#8221;,Программа по увеличению доходов семей из социально незащищенных слоев населения Чеченской Республики № заявки: 242,
,Региональная общественная организация  &#8220;Гражданское общество Ингушетии&#8221;,"&#8220;Благотворительность! &#8220;Экологическое предприятие&#8221; - народу!&#8221; - создание предприятия для снижения остроты по проблемам: безработицы, экологии, помощи малоимущим семьям. № заявки: 665",300 тыс.
Республика Карачаево-Черкессия,
,Организация,Проект,"Сумма, руб."
,"Карачаево-Черкесский общественный благотворительный фонд ветеранов (пенсионеров) войны, труда и Вооруженных Сил.",Оказание помощи социально необеспеченным и социально незащищенным гражданам № заявки: 417,565 тыс.
,Карачаево-Черкесская республиканская организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,Создание социально-психологического реабилитационного комплекса для инвалидов по зрению № заявки: 539,384.900
Республика Карелия,,
,Организация,Проект,"Сумма, руб."
,"Карельская  региональная общественная организация родителей, имеющих детей-инвалидов  &#8220;Особая семья&#8221;",Создание Центра &#8220;Сердцевина&#8221;  для оказания социальных и образовательных услуг детям и молодежи с инвалидностью - малоимущих и социально незащищенных граждан Республики Карелия. № заявки: 488,999.950
,Карельская региональная общественная организация  &#8220;Майя&#8221;,Создание и организация социальной швейной мастерской № заявки: 102,
,Благотворительный фонд &#8220;Здоровье Карелии&#8221;,&#8220;Формирование системы многопрофильного сопровождения социально незащищенных категорий граждан в Республике Карелия &#8220;Содействие&#8221; № заявки: 214,900 тыс.
,Карельская региональная общественная организация &#8220;Общество помощи больным заболеваниями молочной железы&#8221;,&#8221; Оказание социальной поддержки женщинам в части адаптации к новым условиям жизни после удаления молочной железы&#8221; № заявки: 296,416.560
,Карельская региональная общественная организация &#8220;Православный Собор&#8221;,Оказание помощи матерям - одиночкам &#8220;Рождение&#8221; № заявки: 381,
Республика Коми,,
,Организация,Проект,"Сумма, руб."
,Некоммерческая организация Фонд &#8220;Социальное партнерство&#8221;,&#8220;Центр добровольческой помощи&#8221; № заявки: 130,630 тыс.
