Республика Адыгея,,
,Организация,Проект,"Сумма, руб."
,Майкопская городская общественная организация &#8220;Центр психологической и паллиативной помощи больным &#8220;Милосердие&#8221;,&#8220;Дом Жизни&#8221; - предоставление медико-социальной и психологической помощи неизлечимо больному гражданину и инвалиду № заявки: 30,650 тыс.
,Адыгейская республиканская общественная организация Ресурсный центр «Содействие»,&#8220;Молодым везде у нас дорога – старикам везде у нас почет!&#8221; - Оказание социальной помощи участникам ВОВ. № заявки: 1145,279.985
Республика Алтай,,
,Организация,Проект,"Сумма, руб."
,Общественное объединение &#8220;Библиотечное общество Республики Алтай&#8221;,Клубное объединение &#8220;Шаг от одиночества&#8221; - Библиотека как центр социально-культурной работы с пенсионерами и инвалидами № заявки: 452,220 тыс.
,Общество инвалидов с детства &#8220;Возрождение&#8221;,"&#8220;Няня спешит на помощь&#8221; (Создание и отработка модели предоставления социальных услуг семьям, воспитывающим детей с нарушениями развития) № заявки: 872",430 тыс.
Республика Башкортостан,,
,Организация,Проект,"Сумма, руб."
,Региональный общественный фонд &#8220;Международный стандарт&#8221;,Сеть взаимопомощи для несовершеннолетних из малоимущих и социально незащищенных семей с целью лучшей адаптации их к условиям жизни современного российского общества и повышения их социального статуса. № заявки: 238,500 тыс.
,Общественная организация  &#8220;Башкирская ассоциация родителей детей-инвалидов&#8221;,&#8220;В поисках своего призвания&#8221; - Активизация процесса формирования психологической готовности подростков и молодежи с ограниченными возможностями к профессиональному самоопределению и выбору профессии. № заявки: 1183,450 тыс.
Республика Бурятия,,
,Организация,Проект,"Сумма, руб."
,&#8220;Прибайкальская районная общественная организация инвалидов &#8220;Центр деятельности &#8220;Отрадный сад&#8221;.,&#8220;Социальная деревня - новые пути реабилитации и жизнедеятельности людей с нарушением интеллекта&#8221; № заявки: 844,900 тыс.
Республика Дагестан,,
,Организация,Проект,"Сумма, руб."
,Благотворительный фонд &#8220;Женщины - участницы локальных войн&#8221;,"Центр социально-психологической поддержки детей-сирот и членов семей военнослужащих, погибших при исполнении долга № заявки: 363",500 тыс.
,Региональная благотворительная общественная организация помощи беженцам и вынужденным переселенцам &#8220;Набат&#8221;,Спортивно-оздоровительный лагерь для детей из семей беженцев и вынужденных переселенцев &#8220;Надежда&#8221; № заявки: 621,740 тыс.
,Карабудахкентская местная общественная организация &#8220;Общество инвалидов-ампутантов и инвалидов с нарушением опорно - двигательной системы &#8220;Весна&#8221;,Реабилитационный центр для инвалидов-ампутантов и инвалидов с нарушениями опорно-двигательной системы &#8220;Весна&#8221; на побережье Каспия в  Карабудахкентском районе РД № заявки: 634,585 тыс.
,Автономная некоммерческая организация «Республиканский общественный социальный центр»,Центр поддержки по трудоустройству молодых инвалидов г.Махачкалы № заявки: 776,900 тыс.
Республика Ингушетия,,
,Организация,Проект,"Сумма, руб."
,Региональное общественное объединение «Ассоциация студентов Ингушетии»,«Центр медико-психологической помощи» № заявки: 168,270 тыс.
,Ингушская региональная общественная организация &#8220;Кавказский центр поддержки молодежных инициатив&#8221;,Социальные школы по гражданскому образованию и социологии для малоимущей и &#8220;невостребованной&#8221; молодежи Ингушетии. № заявки: 222,1 млн. 300 тыс.
,Ингушская Региональная общественная организация &#8220;Денал&#8221;,Улучшение мобильности в домах для людей с ограниченными возможностями. № заявки: 286,1 млн. 100 тыс.
Республика Калмыкия,,
,Организация,Проект,"Сумма, руб."
,Общественное движение &#8220;Союз женщин Калмыкии&#8221;,"&#8220;Спешите делать добро&#8221; - создание рабочих мест, повышение образовательного и профессионального уровня многодетных  и одиноких матерей из малообеспеченных семей № заявки: 147","2 млн. 263,800"
Республика Карачаево-Черкесия,,
,Организация,Проект,"Сумма, руб."
,Карачаево-Черкесская республиканская организация Общероссийской общественной организации инвалидов &#8220;Всероссийское ордена Трудового Красного Знамени общество слепых&#8221;,&#8220;Свободный путь - новые возможности&#8221;. Реабилитация и интеграция инвалидов по зрению. № заявки: 341,420 тыс.
,Карачаево-Черкесское региональное общественное движение &#8220;Русь&#8221;,Психологическая и правовая поддержка малоимущих и социально-незащищенных граждан русского населения в отдаленных высокогорных районах № заявки: 864,418.126
