1,1,Благотворительный фонд &#8220;Аурея&#8221;,&#8220;Социальный банк&#8221;: создание   антикризисного социального центра и проведение социально значимых   мероприятий.,Красноярский   край,"350   000,00"
2,2,Липецкая региональная организация   Общероссийской общественной организации инвалидов войны в Афганистане,"Развитие системы поддержки и социального   обслуживания ветеранов и инвалидов войны, вооруженных конфликтов, членов их   семей и семей погибших военнослужащих «За социальные гарантии».",Липецкая   область,"750   000,00"
3,3,Автономная некоммерческая организация   медико-социальной помощи &#8220;Православный центр  во имя святителя Димитрия Ростовского&#8221;,"Социальное обслуживание малоимущих и   социально незащищенных категорий граждан: лиц, оставшихся без работы,   пенсионеров и инвалидов, многодетных семей, матерей-одиночек - в Ярославской   области.",Ярославская   область,"700   000,00"
4,4,"Российский общественный   благотворительный фонд ветеранов (пенсионеров) войны, труда и Вооруженных Сил","Благотворительная  материальная и духовная поддержка ветеранов   (пенсионеров) войны, труда и Вооруженных сил.",г.   Москва,"700   000,00"
5,8,Автономная некоммерческая организация   Ефремовский спортивный клуб инвалидов &#8220;СТРИЖ&#8221;,Приобретение микроавтобуса с подъемником   для инвалидов-колясочников - спортсменов.,Тульская   область,"585   000,00"
6,12,Мурманская региональная общественная   организация Военно-патриотический клуб &#8220;ПОИСК&#8221;,"&#8220;НИКТО НЕ ЗАБЫТ, НИЧТО НЕ   ЗАБЫТО!&#8221;  Патриотическое   воспитание подрастающего поколения, проблемы занятости молодежи.",Мурманская   область,"300   000,00"
7,14,Региональная общественная организация   «Общество инвалидов войны в Афганистане «Московский Дом Чешира»,"Реабилитация инвалидов войн, локальных   военных конфликтов и военной службы.",г.   Москва,"1 000   000,00"
8,15,Общероссийский   союз общественных организаций инвалидов &#8220;Помощь и созидание&#8221;,"&#8220;Помощь, созидание и поддержка -   залог повышения социальной защищенности инвалидов военной службы&#8221;.",г.   Москва,"600   000,00"
9,18,Некоммерческая организация   Благотворительный Фонд «Социальная адаптация    инвалидов и молодежи»,"&#8220;Социально-психологическая   адаптация, реабилитация и поддержка инвалидов-колясочников путем приобщения   их к культурным, историческим ценностям    и святыням  России&#8221;.",г.   Москва,"1 000   000,00"
10,20,"Курганская областная общественная   организация ветеранов (пенсионеров) войны, труда, Вооруженных Сил и   правоохранительных органов",Поддержка и социальное обслуживание   малоимущих и социально незащищенных граждан.,Курганская   область,"400   000,00"
11,23,Курское региональное отделение   Общероссийской общественной организации- Ассоциации ветеранов боевых действий   органов внутренних дел и внутренних войск России,"«Воспитание физически развитого,   патриотичного, преданного Родине молодого поколения»: участие в Чемпионате   Мира по военно-спортивному многоборью, организация первенства по туризму.",Курская   область,"350   000,00"
12,24,Мурманская областная общественная   организация «ПЕРСПЕКТИВА»,"Молодежная творческая мастерская «Умелые   ручки» (занятия для подростков и молодежи (молодых людей с ограниченными   возможностями), изготовление изделий для социально незащищенных слоев   населения).",Мурманская   область,"154   860,00"
13,26,Минераловодское районное отделение   Общероссийского общественного благотворительного фонда &#8220;Российский   благотворительный фонд &#8220;Нет алкоголизму и наркомании&#8221;,&#8220;Информационно-консультационный   центр по проблемам химической и другим видам зависимости и созависимости -   ИКЦ &#8220;Выход есть&#8221;.,Ставропольский   край,"450   000,00"
14,31,Некоммерческая организация &#8220;Фонд   поддержки гражданских инициатив&#8221;,Комплексная система   социально-экономического развития села Верхний Спас Тарногского района   Вологодской области.,Вологодская   область,"186   000,00"
15,34,Некоммерческая организация   Благотворительный фонд &#8220;Социальная адаптация инвалидов&#8221;,Помощь людям с ограниченными   возможностями по здоровью в период экономического кризиса открыть себя и   окружающий мир.,Московская   область,"900   000,00"
16,35,Челябинская региональная общественная   организация  &#8220;Память сердца. Дети   погибших защитников Отечества&#8221;,"Медико-социальная поддержка членов семей   погибших участников Великой Отечественной войны, социально незащищенной   категории.",Челябинская   область,"1 000   000,00"
17,36,Общероссийский союз общественных   объединений &#8220;Союз &#8220;Чернобыль&#8221; России&#8221;,"Социально-правовая и реабилитационная   помощь гражданам, пострадавшим вследствие радиационных аварий и катастроф.(3   этап, антикризисный).",г.   Москва,"3 000   000,00"
18,38,Региональная  общественная организация  инвалидов «Берегиня 21 век»,"&#8220;ШАГИ К УСПЕХУ&#8221;: социальная и   трудовая реабилитация инвалидов, членов их семей, молодежи и студентов, а   также людей, попавших в тяжелую жизненную ситуацию, для увеличения уровня их   социальной защищенности.",г.   Москва,"500   000,00"
19,41,Московская областная общественная   организация «Подмосковье» Общероссийской общественной организации инвалидов   войны в Афганистане,«Они сражались за Родину»   (благоустройство мест захоронений инвалидов боевых действий в Афганистане).,Московская   область,"600   000,00"
