3,"Автономная 			некоммерческая организация содействия молодой семье ""Венец""",Приморский край,"Школа для детей и родителей 			""Семейный ас""","400 			000,00"
12,Славянский фонд 			России,г. 			Москва,"Открытый 			гражданский проект ""Культура мира XXI века""","1 			500 000,00"
15,"Общественная 			организация ""Совет женщин Автозаводского района""",Самарская 			область,Вечные ценности,"400 			000,00"
17,"Автономная 			некоммерческая организация ""Областной киноклуб""",Кировская 			область,"Создание серии 			видеофильмов ""Вятская летопись""","400 000,00"
19,"Филиал 			общественной организации ""Союз кинематографистов Российской 			Федерации"" в Республике Дагестан",Республика 			Дагестан,Документальный 			видеофильм о народно-прикладном искусстве Дагестана,"400 000,00"
23,Краснодарское 			краевое отделение Всероссийской общественной организации Всероссийское 			общество охраны памятников истории и культуры (ВООПИК),Краснодарский 			край,"Краеведческая 			патриотическая акция - экспедиция ""Обелиск""","400 000,00"
24,"Дальневосточная 			Ассоциация Управления Проектами ""АМУРНЕТ""",Амурская 			область,"""Проектные 			технологии для сохранения и развития сёл Амурской области""","300 			000,00"
27,"Общероссийское 			общественное движение ""Союз православных граждан""",г. Москва,"Издание журнала, привносящего 			высокие духовные традиционные начала в процесс формирования гражданского 			общества","1 			000 000,00"
28,"Благотворительная 			общественная организация""Ассоциация исполнительского искусства 			Дагестана""",Республика 			Дагестан,"""Табасаранский 			музыкальный фольклор""","400 000,00"
33,"Амурская 			областная организация Общероссийской общественной организации инвалидов 			""Всероссийское Ордена Трудового Красного Знамени общество слепых""",Амурская область,"""К свету 			через культуру""","200 000,00"
39,"Челябинская 			областная организация общественной организации Общество ""Знание"" 			России",Челябинская 			область,Народный 			университет - важнейший компонент развития системы обучения в течение всей 			жизни.,"700 000,00"
44,Региональная 			общественная организация Героев Социалистического Труда и полных кавалеров 			ордена Трудовой славы,г. Москва,"Издание книги 			""Герои Труда России""","250 000,00"
46,"Общественная 			организация ""Координационный совет молодых ученых и специалистов 			Республики Саха (Якутия)""",Республика Саха 			(Якутия),"Комплексная 			научно-образовательная экспедиция молодых ученых ""Южная Якутия: 			социально-экономические, медико-биологические, экологические, 			историко-культурологические аспекты)""","500 000,00"
50,"Учреждение 			культуры ""Центр поддержки и социально-творческой реабилитации инвалидов 			Архангельского регионального отделения общественной организации 			Всероссийского общества глухих""",Архангельская 			область,"""ПОЮЩИЕ 			РУКИ""","425 000,00"
51,"Общероссийская 			Общественная Организация ""Ассоциация коренных малочисленных народов 			Севера, Сибири и Дальнего Востока РФ""",г. Москва,Сохранение 			культурного наследия коренных народов Севера,"800 000,00"
53,Общественная 			Организация  Санкт-Петербургское 			отделение Российского творческого Союза работников культуры,Санкт-Петербург,"Международный 			Фестиваль-конкурс ""Виртуозы гитары""","300 000,00"
55,"Некоммерческое 			партнерство по развитию социально-экономических программ ""Общественный 			совет ""Потенциал нации""",г. Москва,"Российский 			фестиваль литературного творчества ""Душа России""","250 000,00"
