1,1,"Международная 			общественная организация ""Федерация мира и согласия""","Москва, Санкт-Петербург, 			Волгоград, Екатеринбург, Самара, Ярославль; Германия, Азербайджан, Украина, 			Таджикистан, Кыргызстан, Беларусь, Туркмения, Казахстан, Молдова, Грузия","""Форум 			мира. Современное миротворческое движение в России  и на постсоветском 			пространстве""",3 000 000
2,9,Некоммерческое 			партнёрство «Гараль»,"Калужская 			область, Московская область,Санкт-Петербург, и др. регионы Российской 			Федерации",«Влияние 			Калужского края на формирование российского государства в период проведения Петровских 			реформ конца XVII – начала XVIII веков»,300 000
3,17,Некоммерческая 			организация «Благотворительный фонд поддержки и развития русского романса 			«Романсиада»,"Москва, 			Подмосковье, Санкт-Петербург, города Центра России, Поволжья, Севера, Крайнего 			Севера, Урала, Сибири, Дальнего Востока, страны Ближнего Зарубежья – 			Казахстан, Узбекистан, Кыргызстан, Таджикистан, Молдова, Беларусь, Украина, 			Армения, Грузия, страны Дальнего зарубежья – Болгария, Польша, Китай, Корея, 			США, Израиль",Международный 			конкурс молодых исполнителей русского романса «Романсиада»,1 000 000
4,23,Региональный 			общественный фонд содействия сохранению и развитию классической культуры и 			культурных ценностей «Народный Пушкинский Фонд»,"Российская 			Федерация, Украина,  Эстония, Латвия, 			Литва, Франция, Германия, США, Финляндия, Польша, Австрия, Англия, Болгария",Содействие 			Народным Пушкинским Фондом  сохранению 			русской культуры в среде российского зарубежья.,900 000
5,26,Ассоциация «Народные художественные промыслы России»,"Ярославская 			область, Нижегородская область, Кировская область и др. регионы Российской 			Федерации",Поддержка 			творчества молодых мастеров народных художественных промыслов России как  основополагающий фактор сохранения 			национального достояния России и средство укрепления связей между народами 			посредством общественной дипломатии,2 800 000
6,28,"Некоммерческая 			организация ""Межрегиональный благотворительный фонд помощи 			заключенным""",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,"""Территория 			партнерства - 2009""",4 000 000
7,40,Некоммерческая 			организация Фонд содействия СМИ «Пресса»,"Москва, Кировская 			область, Рязанская область, Нижегородская область, Тверская область, 			Ивановская область, Московская область, Республика Карелия, Республика Коми",Разработка 			и общественная экспертиза экспериментальной модели патриотического воспитания 			в школах и учреждениях образовательного типа,1 500 000
8,41,"Общероссийское 			общественное объединение Славянский фонд России, Москва","Москва, 			страны славяно-балканского региона",Гражданский 			открытый проект «Культура мира XXI века»,1 500 000
9,42,Некоммерческая 			организация «Фонд святого благоверного князя Александра Невского»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,"""Духовно-нравственная 			литература в современной системе образования""",2 500 000
10,49,"Автономная 			некоммерческая организация ""Московская педагогическая академия""","Москва, 			Московская область, Курская область, другие регионы Российской Федерации",Духовно-нравственное 			и семейное воспитание в современной системе образования,2 500 000
11,56,"Межрегиональная 			общественная организация – Общество российско-китайской дружбы, Москва","Москва, 			Санкт–Петербург, Владивосток, Чита, Хабаровск",Общество 			российско-китайской дружбы – последовательный проводник   народной дипломатии в российско-китайских 			отношениях,500 000
12,62,"Автономная  некоммерческая  организация  			""Психологическая служба ""Семейное благо""","Москва, 			Рязанская область","""Разработка 			духовно-просветительских, обучающих и развивающих психолого-педагогических 			программ, направленных на поддержку современной семьи""",500 000
13,65,"Региональная 			общественная организация ""Историко-культурный поисковый центр 			""Обелиск""","Москва, Московская, 			Смоленская, Тверская, Калужская области","«Поклонимся 			великим тем годам!» (установление судеб солдат и офицеров, «без вести 			пропавших» в годы Великой Отечественной войны, воспитание у подростков и 			молодежи чувства патриотизма, готовности к достойному служению Отечеству)",1 700 000
14,75,"Фонд 			""Международный Фонд поддержки социогуманитарных исследований и 			образовательных программ ""Интерсоцис""",Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; Южный 			ФО; Центральный ФО; Приволжский ФО,"Разработка 			концепции современных инновационных технологий в науке, образовании и 			социальном управлении в российском обществе",4 000 000
15,77,Религиозная 			Организация – Московская Марьинорощинская Еврейская Община,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,«Библиотека 			еврейских текстов»,1 000 000
16,79,Некоммерческое 			партнерство содействия развитию институтов гражданского общества «ВАТАНЫМ»,Российская 			Федерация и страны  СНГ,"Содействие 			реализации принципов равенства всех народов, пропаганда ценностей культуры мира, 			основанных на межэтнической, межкультурной и межконфессиональной терпимости, 			не приемлющей насилия и войн, проявлений национального экстремизма и эгоизма 			путем выпуска и распространения газеты «Татарский мир» и журнала «Восточный 			свет»",4 000 000
17,86,"Санкт-Петербургский 			общественный фонд социально-экономических программ ""Петербургский 			проект""",Санкт-Петербург,"Создание 			ресурсного центра для НКО, действующих в сфере образования Санкт-Петербурга",900 000
18,87,"Карельская 			региональная общественная организация ""Фонд творческой инициативы""",Республика 			Карелия,"""Семья 			- моя маленькая планета""",200 000
19,92,"Международный 			Союз общественных объединений «Конгресс по вопросам семьи, материнства и 			детства»","Московская 			область, Костромская область, Ярославская область, Владимирская область, 			Липецкая область, Республика Мордовия, Республика Татарстан, Санкт-Петербург",«Наше 			поколение: семья и подросток»,4 000 000
20,97,Белгородская 			региональная общественная организация «Экономический союз деловых женщин»,Белгородская 			область,Образовательный 			проект: по разработке методик и обучению сельскому туризму,1 000 000
21,114,Образовательное 			учреждение профсоюзов «Академия труда и социальных отношений»,"Российская 			Федерация, страны СНГ и Балтии",«Повышение 			квалификации профсоюзных кадров стран СНГ и Балтии».,3 000 000
22,115,"Некоммерческое 			партнерство ""Творческое содружество ""Маэстро""","Российская 			Федерация, Санкт-Петербург,  страны 			Северной и Западной Европы",Дорога 			Любви,600 000
23,117,"Общероссийская 			общественная организация ""Смирновы России""","Московская 			область, Ивановская область, Нижгородская область, Волгоградская область",Просветительский 			проект «История России-Россиянам» этап 2009 год – «Русский Север»,350 000
24,132,"Автономная 			некоммерческая организация культуры «Творческая лаборатория ИНО (Искусство, 			Наука, Образование)»","Москва, Санкт-Петербург, 			Красноярский край, Мурманская область, Ямало-Ненецкий автономный округ, 			Псковская область, Московская область, Тверская область, республика Карелия",«Мастерская 			женского творчества» (МЖТ),800 000
25,139,"Международный 			Союз Общественных Объединений ""Международный Общественно-Экономический 			Союз (женщин)""","Калужская, 			Владимирская, Тверская области",«Разработка 			Концепции проекта Национального  плана 			по сохранению нематериального культурного наследия России в соответствии с «Конвенцией  об охране нематериального культурного 			наследия»,2 500 000
26,141,Фонд 			«Российский общественно-политический центр»,"регионы 			Российской Федерации, Москва, страны Европейского Союза, США и Япония",Ежегодник «Российская 			полития» (Russian Polity),1 000 000
27,147,Архангельская 			региональная общественная организация Национально - культурная  автономия поморов Архангельской области,Архангельская 			область,"""Поморская 			народная артель""",400 000
28,148,"Саратовская 			региональная общественная организация Национально-Культурный Центр 			""Литовский дом""",Саратов,«Детский 			центр народной дипломатии «Песни и сказки наших народов»,180 000
29,155,Фонд социально-экономических 			и интеллектуальных программ,"респ.Адыгея, 			респ.Алтай, Алтайский край, Архангельская область, Астраханская область, 			респ.Башкортостан, респ.Беларусь, Белгородская область, Брянская область, 			Владимирская область, Волгоградская область, Вологодская область, Воронежская 			область, респ.Дагестан, Еврейская АО, Иркутская область, Кабардино-Балкария, 			респ.Казахстан, Калининградская область, респ.Калмыкия, Калужская область, 			Камчатская область,респ.Карелия, Кемеровская область, Кировская область, 			респ.Коми, Костромская область, Краснодарский край, Красноярский край, 			Курганская область, Курская область, Ленинградская область, Липецкая область, 			респ.Марий-Эл, респ.Мордовия, Москва, Московская область и др. регионы 			Российской Федерации",«Молодые (новые) 			писатели России»,3 000 000
30,158,Общественная 			Организация  Санкт-Петербургское 			отделение Российского творческого Союза работников культуры,Санкт-Петербург,"VI 			Международный музыкальный фестиваль-конкурс ""Виртуозы гитары""",300 000
31,160,"Воронежское 			областное молодёжное общественное движение ""Воронежская лига КВН""",Воронежская 			область,"""Территория 			игры""",250 000
32,163,"Вологодское 			региональное отделение общероссийского общественного благотворительного фонда 			""Российский детский фонд""",Вологодская 			область,«Мы-граждане 			России» (Научись быть гражданином!),900 000
33,181,"Благотворительный 			фонд ""Спасение от наркотиков""",Вологодская 			область,"НОУ 			""Молодая наука""",300 000
34,189,Международная 			общественная организация «Союз социальной защиты детей»,г.Москва,«Правовое 			поле моей юности» (образовательный проект по правовому просвещению подростков 			и молодежи через создание сети клубов «Юный правовед» в целях профилактики 			безнадзорности и правонарушений несовершеннолетних),600 000
35,195,"Некоммерческое 			партнерство ""Северо-Западный центр развития парламентаризма""",Ленинградская 			область,"""Парламентская 			школа органов местного самоуправления""",900 000
36,199,Международная 			общественная организация «Международная академия телевидения и радио»,"Центральный 			ФО,  Приволжский ФО, Сибирский ФО,  Дальневосточный ФО,  			Уральский ФО Российской Федерации","""Медиа-Знание 			ХХI Курс переподготовки работников СМИ""",2 500 000
37,202,Благотворительный 			Фонд «100 лет профсоюзного движения России»,"Российская 			Федерация, Армения, Белоруссия, Грузия, Казахстан, Кыргызстан, Латвия, 			Литва,   Молдова, Таджикистан, Украина",« 			Регулирование социально-трудовых отношений. Много- и двусторонняя программа 			сотрудничества в области повышения квалификации профсоюзных кадров стран СНГ 			и Балтии»,3 000 000
38,205,"Местная 			общественная организация «Лобненское городское Психологическое общество», 			Московская область",Московская 			область,Психологическое 			сопровождение реализации Стратегии 2020 в муниципальных образованиях 			поселенческого уровня.,500 000
39,218,Некоммерческое 			партнерство «Национальная академия туризма»,Российская 			Федерация: Северо-Западный ФО; Дальневосточный и Сибирский ФО; Уральский ФО; 			Южный ФО; Центральный ФО; Приволжский ФО,Концепция 			формирования туристско-рекреационной системы регионов Центральной России как 			основы социально-экономического и культурно-исторического развития,1 000 000
40,219,"Омский 			региональный общественный фонд поддержки творческой молодежи 			""Содружество""","Омск, 			районы Омской области: Марьяновский, Омский, Исилькульский, Щербакульский, 			Нововаршавский, Тарский, Москаленский, Полтавский, Седельниковский","Региональный 			фестиваль молодежного творчества ""Россия молодая""",500 000
41,237,"Некоммерческое 			партнерство ""Агентство научных и деловых коммуникаций""",Российская 			Федерация и зарубежные страны,"""Россия 			2020"" в контексте современной цивилизации",3 500 000
42,239,"Общероссийская 			общественная организация работников средств массовой информации ""Медиа 			Союз""","Санкт-Петербург, 			Владимир, Самара, Екатеринбург, Волгоград, Новосибирск, Хабаровск, Москва","""Комплекс 			мероприятий, направленных на продвижение идей строительства гражданского 			общества в средствах массовой информации Российской Федерации""",1 000 000
43,264,"Некоммерческая 			организация Тамбовское региональное отделение Общероссийской общественной 			организации инвалидов ""Всероссийское общество глухих""",Тамбовская 			область,"Социально-культурный 			Центр ""Единение""",190 000
