Реестр	Уч.№	Наименование	ОГРН	Дата ОГРН	Адрес	Форма	Регион	Статус				
Некоммерческие организации	2214060094	"Алтайская ассоциация лизинговых компаний ""Алтай-Лизинг"""	1092202001242	10.08.2009	656008, Алтайский край, г. Барнаул, ул. Пролетарская, 252, тел. 63-36-06,  63-85-86	Объединения (союз, ассоциация) юридических лиц	Алтайский край	Зарегистрирована				
Общественные объединения	2212010956	"Алтайская краевая общественная организация инвалидов ""Ариадна"""	1022240530751	09.01.2003	пр. Ленина, 106, 656011	Общественная организация	Алтайский край	Исключена				
Общественные объединения	2212010050	"АЛТАЙСКАЯ КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ТОРИ"""	1022240527781	31.12.2002	656058, Алтайский край, город Барнаул, проезд Северо-Власихинский, дом 64,  смена юрид. адреса (распоряжение от 04.12.2008) 630007, Новосибирская область, г. Новосибирск, Красный проспект, д. 1	Общественная организация	Алтайский край	Исключена				
Общественные объединения	2212012449	"Алтайская краевая общественная организация ""Центр пропаганды здорового образа жизни, профилактики ВИЧ/СПИДа и других социально-значимых заболеваний ""Партнерство Плюс"""	1112202001306	20.07.2011	658218, Алтайский край, г. Рубцовск, ул. Алтайская, д. 948 (38557) 6 53 36,  5 86 93	Общественная организация	Алтайский край	Зарегистрирована				
Общественные объединения	2212110357	Алтайская краевая организация Общероссийского профессионального союза работников автомобильного транспорта и дорожного хозяйства	1022201762153	25.09.2002	656043, Алтайский край, г. Барнаул, пр. Ленина, д. 23, к. 207,21283852 639700,  63 97 00	Профессиональный союз	Алтайский край	Зарегистрирована				
Общественные объединения	2212010944	"Алтайская региональная организация Общероссийского Союза общественных организаций инвалидов ""Союз футбольных клубов инвалидов России"" Спортивный клуб инвалидов ""ИНВ-ЭСКО-СПОРТ-ФУТБОЛ"""	1032202360431	14.01.2003	пр. Ленина, 89-а,  656002	Общественная организация	Алтайский край	Исключена				
Религиозные организации	2211010279	"Алтайская христианская миссия ""Спасение"""			ул. Чайковского, 17-29,   656906,	Религиозная организация	Алтайский край	Исключена				
Общественные объединения	2212030135	"Алтайский краевой  общественный фонд ""Новые Технологии"""			ул. 5 Западная,  85,   656023	Общественный фонд	Алтайский край	Исключена				
Общественные объединения	2212030118	"Алтайский краевой благотворительный общественный фонд ""Семицвет"""	1022200805615	11.09.2002	ул. Комосмольская, 134,  658201	Общественный фонд	Алтайский край	Исключена				
Общественные объединения	2212010940	"Алтайское региональное отделение общероссийской общественной организации инвалидов ""Всероссийское общество глухих"""	1022200526512	23.10.2002	656043,Алтайский край,г.Барнаул,ул. Пушкина, 48-2	Общественная организация	Алтайский край	Зарегистрирована				
Некоммерческие организации	2214210001	"Ассоциация ""Совет муниципальных образований Алтайского края"""	1062202034509	28.06.2006	656038, Алтайский край, г. Барнаул пр. Ленина, 44, (83852) 66 89 63,  51 02 16	Совет муниципальных образований	Алтайский край	Зарегистрирована				
Общественные объединения	2212010998	"Барнаульская городская общественная организация ""Союз старых русских"""			А.Петрова, 118-Б,   656052	Общественная организация	Алтайский край	Исключена				
