registy	uniqnum	name	ogrn	ogrndate	address	orgform	region	status
Общественные объединения	2212010308	Алтайская краевая общественная организация ветеранов (пенсионеров) войны, труда, Вооруженных Сил  и правоохранительных органов	1022200899863	18.10.2002	656059, Алтайский край, г. Барнаул,  ул.Партизанская, д. 69	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212030022	"Алтайское региональное отделение Общероссийского общественного благотворительного фонда поддержки военнослужащих (сотрудников) и гражданского персонала  Вооруженных Сил Российской Федерации, других войск и воинских формирований, специальных служб и правоохранительных органов Российской Федерации ""Национальный Военный Фонд"	1042202362311	06.08.2004	659321, ул. Советская, д.220, кв. 69	Общественный фонд	Алтайский край	Исключена
Общественные объединения	2212012334	"Алтайское региональное отделение Общероссийской общественной организации ""Российская организация сотрудников правоохранительных органов"	1102202001175	09.04.2010	658080, Алтайский край, г. Новоалтайск,  Промплащадка, д. 45	Общественная организация	Алтайский край	Исключена
Общественные объединения	2212010321	Барнаульская городская общественная организация ветеранов (пенсионеров) войны, вооруженных сил и правоохранительных органов	1022200527315	01.11.2002	656038, Алтайский край, г. Барнаул,  пр-т Комсомольский, 108-а	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212011001	"Белокурихинское городское отделение Общероссийской общественной организации ""Ассоциация работников правоохранительных органов Российской Федерации"	1042202360331	27.02.2004	659900, ул. Братьев Ждановых, д. 23	Общественная организация	Алтайский край	Исключена
Общественные объединения	2212010310	Бийское городское отделение Алтайской краевой общественной организации ветеранов пенсионеров войны, труда, вооруженных сил и правоохранительных органов	1062202031198	06.06.2006	659300, Алтайский край, город Бийск, улица Советская, дом 30	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010185	Городское отделение г. Яровое Алтайской краевой общественной организации ветеранов (пенсионеров) войны, труда, Вооруженных Сил и правоохранительных органов	1022200531913	16.12.2002	658837, Алтайский край. г. Яровое  Квартал Б, 35, тел 8268 32134	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212030234	"Городской общественный фонд поддержки правоохранительных органов ""Закон и порядок"			656002 г.Барнаул, ул.Профинтерна, 38	Общественный фонд	Алтайский край	Исключена
Общественные объединения	2212010947	Залесовское районное отделение Алтайской краевой общественной организации ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов	1022240530476	09.01.2003	659220, Алтайский край, с. Залесово, ул. Партизанская, 26	Общественная организация	Алтайский край	Зарегистрирована
Общественные объединения	2212010330	Индустриальная районная общественная организация ветеранов (пенсионеров) войны, труда, вооруженных сил и правоохранительных органов г. Барнаула	1022200528481	19.11.2002	656057, г. Барнаул, ул. Энтузиастов, д. 7	Общественная организация	Алтайский край	Зарегистрирована
